,location,google_results
2107,"Ostrava, Czech Republic - Vol. 1",1710000
2108,"Ballarat, Victoria, Australia",22600000
2109,"João Pessoa, Paraíba, Brasil",61100000
2110,"Medford, MA, USA",38800000
2111,"Braga, Portugal (Part of ETAPS 2007)",3730000
2112,"Genoa, Italy - Posters and Demos",11800000
2113,"Riverside, CA, USA",99100000
2114,"Banff, Alberta, Canada - CKC",74200
2115,"Beijing, China (SIGMOD 2007 Workshop)",144000
2116,"Lisbon, Portugal - MAI",26200000
2117,"Reno, Nevada, USA - PDSW",189000
2118,"Genoa, Italy - KAMC",590000
2119," Newport Beach, CA",157000000
2120,"Gramado, Rio Grande do Sul, Brazil",18300000
2121,"Redwood Shores, CA, USA",15100000
2122,"Taiwan, ROC",59700000
2123,"Windsor, Ontario, Canada",180000000
2124,"New Orleans, Louisiana, USA - Videos",104000000
2125,"Gramado, RS, Brazil",1210000
2126,"St. Thomas, US Virgin Islands",51800000
2127,"Milano, Italy",419000000
2128,"Tiburon, CA, USA",10800000
2129,"Fort Worth, TX, USA",527000000
2130," Ischia, Italy",16500000
2131,"Tutzing, Germany",475000
2132,"Saarbrücken, Germany - State of the Art Reports",1690000
2133,"Wroclaw, Poland",92300000
2134,"Aberdeen, Scotland, UK",63200000
2135,"Jeju, Korea",34100000
2136,"Fairfax, VA, USA",26100000
2137,"Saarbrücken, Germany - Short Presentations",829000
2138,"Chia, Sardinia, Italy",743000
2139,"McLean, VA, USA",15600000
2140,"McLean, Virginia, USA",49000000
2141,"Lund, Sweden",81500000
2142,"Valenciennes, France",35000000
2143,"Copenhagen, Denmark - Volume 4",60000000
2144,"Copenhagen, Denmark - Volume 3",62600000
2145,"Copenhagen, Denmark - Volume 2",54200000
2146,"Copenhagen, Denmark - Volume 1",53200000
2147,"Kühlungsborn, Germany",1240000
2148,"Recife, Brazil",67900000
2149,"Device-Independent Color, Color Hardcopy, and Applications 2002",1260000
2150," Newport Beach, California, USA",107000000
2151,"Cincinnati, Kentucky, USA",73000000
2152," Minneapolis, Minnesota, USA - Extended Abstracts",74100000
2153,"San Jose, USA",820000000
2154,"Toronto, Canada (CAiSE 2002 Workshop)",120000
2155,"Vienna, Austria - Workshops",75600000
2156,"McLean, VA (near Washington, DC), USA",37200000
2157,"Minneapolis, Minnesota, USA - Case Studies",288000000
2158,"Washington, DC, USA - Computational Methods for SNPs and Haplotype Inference",90300
2159,"Big Island, Hawaii, USA",151000000
2160," Enschede, The Netherlands",28100000
2161," Covington, Kentucky, USA",11400000
2162,"Dallas/Fort Worth, TX, USA",102000000
2163,"Groningen, The Netherlands",70900000
2164,"Salvador, Brasil",750000000
2165,"Sapporo, Japan",54200000
2166," Winnipeg, Manitoba, Canada",112000000
2167,"Saarbrücken, Germany - Tutorials",9050000
2168,"Martigny, Valais, Switzerland",1590000
2169,Leipzig,272000000
2170,"Reno, Nevada, USA",73100000
2171,"Warsaw, Poland (Part of ETAPS 2003)",1210000
2172,"Tampa, FL, USA",306000000
2173,"Indianapolis, IN, USA",158000000
2174," Amiens, France",48900000
2175,"Kolkata, India",386000000
2176,"Providence, Rhode Island, USA - Workshops",126000000
2177,"Sanibel Island, FL, USA",1910000
2178,"Madison, WI, USA - Volume 1",64400000
2179,"Madison, WI, USA - Volume 2",63900000
2180,Pisa,145000000
2181,"Hatfield, UK",36600000
2182,"Madison, Wisconsin, USA - Workshops",20500000
2183,"Miami, FL, USA",861000000
2184,"Hamburg, Germany - Workshop on Reference Ontologies and Application Ontologies",908000
2185,"Bandung, Indonesia",278000000
2186,"St. Augustine, Florida, USA",49400000
2187," Maó, Menorca, Spain - Volume 2",422000
2188,"Maó, Menorca, Spain - Volume 1",610000
2189,"Melbourne, Florida, USA",128000000
2190,"Manaus, Amazonas, Brazil",13300000
2191,"Princeton University, NY, USA",53500000
2192,"Naples, Italy",134000000
2193,"Granada, Spain - Tutorials",1020000
2194,"Campos do Jordão, Brazil",4100000
2195," San Franciso, CA, USA",1610000000
2196,"Jeju Island, Korea",16000000
2197,"Keele, UK",7650000
2198,"Angers, France",74600000
2199,"Ambleside, UK",4930000
2200,"Halifax, Canada",101000000
2201,"Villa Olmo, Lake Como, Italy",596000
2202,"New Orleans, Louisisana, USA",397000000
2203,"Hawthorne, NY, USA",48500000
2204,"Barcelona, Spain - Poster and Demonstration",83400000
2205,"Barcelona, Spain - Student Research Workshop",87900000
2206,"Nova Scotia, Canada",91900000
2207,"Shanghai, China - Workshops",8880000
2208," Hong Kong, China - Regular Papers",183000000
2209,"Key West, FL, USA",757000000
2210,"Augsburg, Germany - Workshops",19700000
2211,"Fortaleza, Brazil",64100000
2212,"Arto Salomaa, 2004",292000
2213,"Smolenice Castle, Slovakia",61400
2214,"Guangzhou, China",359000000
2215,"Puebla, Mexico",133000000
2216,"Taichung, Taiwan, ROC",2910000
2217,"Sitges, Catalonia, Spain",1770000
2218,"Hamilton, Ontario, Canada",192000000
2219,"Prague, Czech Republic - Workshop on HCI",389000
2220,"Prague, Czech Republic - Workshop SMVP",671000
2221,"Prague, Czech Republic - Workshops CVAMIA and MMBIA",101000
2222,"Whistler, BC, Canada",15500000
2223,"Saint-Malo, Bretagne, France",31600000
2224,"Winnipeg, Manitoba, Canada",112000000
2225," Milan, Italy",410000000
2226,"Prague, Czech Republic - Volume 4",52400000
2227,"Busan, Kora",1470000000
2228,"Prague, Czech Republic - Workshop BioAW",86900
2229,"Tel Aviv, Israel",93400000
2230,"Galveston, TX, USA",7750000
2231,"Dalian, China",27400000
2232,"Boca Raton, Florida, USA",67200000
2233,"Canterbury, Kent, England",22500000
2234,"Paphos, Cyprus - Preliminary proceedings",271000
2235,"Brooklyn, New York, USA",556000000
2236,"Toronto, Ontario, Canada (in conjuction with VLDB 2004)",14300
2237,"Fort Lauderdale, Fl, USA",77400000
2238,"Whistler, Canada",26100000
2239,"Curitiba, PR, Brazil",34700000
2240,"Banff, Anbert, Canada",23700000
2241,"Campos do Jordão, São Paulo, Brazil",13000000
2242,"Boston, Massachusetts, USA - Student Research Workshop",51200000
2243,"Grenoble, France - Tutorials",4450000
2244,"Boston, Massachusetts, USA - Demonstration Papers",69900000
2245,"Boston, Massachusetts, USA - Short Papers",176000000
2246,"Chicago, USA",1310000000
2247,"Verona,Italy",136000000
2248,"Kenting, Taiwan",1100000
2249,"Bergen, Norway + related Dagstuhl Workshop",17500
2250,"Taormina, Sicily, Italy",7160000
2251,"Brasília, Distrito Federal, Brazil",14700000
2252,"Oldenburg, Germany",41500000
2253,"Victoria, Canada",935000000
2254,"Wuhan, China",102000000
2255,"Riga, Latvia - Vol. 3",4760000
2256,"Cork, County Cork, Ireland",128000000
2257,"Papeete, Tahiti",6600000
2258,"Clearwater Beach, FL, USA",24200000
2259," Williamsburg, Virginia, USA",24900000
2260,"Riga, Latvia - Vol. 1",5060000
2261,"Grenoble, France - State of the Art Reports",3550000
2262,"Ostrava, Czech Republic",16300000
2263,"Riga, Latvia - Vol. 2",5130000
2264,"Exeter, UK",76300000
2265,"Shenyang, China",16300000
2266,"Martigny, Switzerland",2080000
2267,"Huntsville, Alabama, USA",48700000
2268,"Vancouver, BC, Canada - Proceedings",12200000
2269,"Fredericton, N.B., Canada",14600000
2270,"Essen, Germany - E-Business",45700000
2271," Gallipoli, Italy",7840000
2272,"New York, NY, USA - SRMC",55300
2273,"Los Angeles, California, USA - Web Graphics",129000000
2274," Vancouver, BC, Canada - Volume 1",121000000
2275," Vancouver, BC, Canada - Volume 2",74100000
2276," Vancouver, BC, Canada - Volume 3",72200000
2277," Vancouver, BC, Canada - Volume 4",75100000
2278," Vancouver, BC, Canada - Volume 5",59500000
2279,"Goyang, Korea",21800000
2280,"Los Angeles, California, USA - Special Sessions",89800000
2281,"Los Angeles, California, USA - Course Notes",58300000
2282,"Los Angeles, California, USA - Educators Program",356000000
2283,"Zeist, the Netherlands",5790000
2284,"Los Angeles, California, USA - Emerging Technologies",31500000
2285,"Los Angeles, California, USA - Computer Animation Festival",16000000
2286,"Los Angeles, California, USA - Art Gallery",False
2287,"Los Angeles, California, USA - Panels",111000000
2288,"Funchal, Island of Madeira, Portugal",8380000
2289,"Vigo, Pontevedra, Spain",6530000
2290,"Dayton, OH, USA",85100000
2291,"Sydney, Australia - Selected Papers",30000000
2292,"Paphos, Cyprus - Workshops",812000
2293,"Porto de Galinhas, Brazil (Companion)",43500
2294,"Flagstaff, Arizona, USA",31600000
2295,"Newport Beach, CA, USA - Workshops",87700000
2296," Tampere, Finland",63500000
2297,"Bengaluru, India",514000000
2298,"Florianópolis, Santa Catarina, Brazil - Short Papers",3500000
2299,"Vitória, Espírito Santo, Brazil",9290000
2300,"Córdoba, Spain",116000000
2301,"Richmond, VA, USA",393000000
2302,"Córdoba, Argentina",223000000
2303,"Vilamoura, Algarve, Portugal",6000000
2304,"Warsaw, Poland - Industrial Session",7710000
2305,"Dana Point, CA, USA",124000000
2306,"Kaohsiung, Taiwan - Short Papers",1240000
2307,"Winchester, UK",140000000
2308,"Colorado Springs, CO, USA",112000000
2309,"Colorado Springs, CO, USA - Workshops",43500000
2310,"Jinan, China",25000000
2311,"Madrid, Spain - Special Track on Applications",23200000
2312,"San Juan, PR, USA",74600000
2313,"London, UK - BPMDS / EMMSAD",85600
2314,"London, UK - EOMAS",36300
2315,"Kingston, ON, Canada",241000000
2316,"Gwangju, South Korea",8520000
2317,"Windsor Great Park, UK",51300000
2318,"Windsor Great Park, UK - Late Breaking Papers",30500000
2319,"Waikoloa, HI, USA",352000
2320,"Vancouver, BC, Canada - Art Gallery",33100000
2321,"Vancouver, BC, Canada - Computer Animation Festival",3910000
2322,"Vancouver, BC, Canada - Emerging Technologies",18100000
2323,"Vancouver, BC, Canada - Dailies",417000
2324,"Vancouver, BC, Canada - Courses",437000000
2325,"Vancouver, BC, Canada - Awards",77000000
2326,"Hong Kong, China - Art Gallery",False
2327,"Palm Beach, Florida, USA",313000000
2328,"Chiang Mai, Thailand - System Demonstrations",5240000
2329,"Vancouver, BC, Canada - Game Papers",30900000
2330,"Thiruvananthapuram, Kerala, India",62500000
2331,"Salford, United Kingdom",15100000
2332,"  Banff, Canada",32800000
2333,"Taipei, Taiwan / Lyon, France",6620000
2334,"Vancouver, BC, Canada - Posters",27900000
2335,"Vancouver, BC, Canada - Studio Talks",16800000
2336,"Como, Italy - Workshops",251000000
2337,"Gdańsk, Poland",86200000
2338,"Lipari Island, Italy",1890000
2339,"Salvador, BA, Brazil",77600000
2340,"Vancouver, BC, Canada - Real-Time Live!",56700000
2341,"Portland, Oregon, USA - Shared Task",14900000
2342,"Vancouver, BC, Canada - Talks",71000000
2343,"Tumkur, Karnataka State, India",18500000
2344,"West Point, NY, USA",2020000000
2345,"Chicago, IL, USA - Workshop on Security and Privacy in GIS and LBS",375000
2346,"Alagoas, Brazil - Tutorials",384000
2347,"Alagoas, Brazil",17100000
2348,"Belfast, ME, USA",36300000
2349,"Noosa, QLD, Australia",11800000
2350,"Karlsruhe, Germany - Workshops",17400000
2351,"Seattle, Washington, USA (in conjuction with VLDB 2011)",27900
2352,"Vilamoura, Algarve",6170000
2353,"Waterloo, ON, Canada",116000000
2354,"Hangzhou, China - Volume 1",23000000
2355,"Hangzhou, China - Volume 2",13800000
2356,"Ystad, Sweden",5930000
2357,"Anchorage, Alaska, USA - Workshops",1750000
2358,"San Francisco Airport,California,USA",53300000
2359,"Rostock, Germany / Lisbon, Portugal",1170000
2360,"Perth, Victoria, Australia",169000000
2361,"Haldia, India",6350000
2362,"Ballarat, Australia",22300000
2363,"Bonn, Germany - Linked Science",10900000
2364,"Bonn, Germany - Ontology Matching",428000
2365,"Visakhapatnam, Andhra Pradesh, India",41500000
2366," Visakhapatnam, Andhra Pradesh, India",41500000
2367,"Fort Collins, CO, USA",130000000
2368,"Bonn, Germany - Semantic Personalized Information Management",449000
2369,"Surathkal, India",2480000
2370,"Llandudno, UK - Education Papers",885000
2371,"San Francisco Airport, California, USA",53300000
2372,"Sanya, Hainan Island, China",673000
2373,"Valencia, Spain - Revised Selected Papers",1370000
2374,"Beijing, China - Virtual Colonoscopy and Abdominal Imaging",138000
2375,"Valencia, Spain - Volume 2",68700000
2376,"Oxford, MS, USA",425000000
2377,"Sydney, New South Wales, Australia",220000000
2378,"Valencia, Spain - Volume 1",67400000
2379,"Prague, Czeech Republic",216000000
2380,"Displaying, Processing, Hardcopy, and Applications 2010",2840000
2381,"Seoul, Korea,",3360000000
2382,"Norrköping, Sweden - State of the Art Reports",392000
2383,"Norrköping, Sweden - Tutorials",370000
2384,"Carmona, Sevilla, Spain",4230000
2385,"Carmona, Sevilla, Spain - Workshops",1950000
2386,"Tsukuba, Japan - Volume 2",19600000
2387,"Tsukuba, Japan - Volume 1",21300000
2388,"Norrköping, Sweden - Posters",323000
2389,"Cesme, Izmir, Turkey",8500000
2390,"Rio de Janeiro, RJ, Brazil",126000000
2391," Barcelona, Spain - PSDML",8490
2392,"Changchun, China",11700000
2393,"Plan, Activity, and Intent Recognition 2010",141000000
2394,"Toronto, ON, Canada / / TADA 2010",1300000
2395,"Buffalo, NY, USA - Special Track",77900000
2396,"Winnipeg, MB, Canada",60400000
2397,"Karlsruhe, Germany - KESE",212000
2398,"New Delhi, Punjab, India",685000000
2399,"Norrköping, Sweden - Education Papers",493000
2400," Scottsdale, Arizona, USA",39800000
2401,"Norrköping, Sweden - Areas Papers",451000
2402,"Athens, Greece - Selected Papers",7950000
2403,"Oslo, Norway - Workshops",19600000
2404,"Norrköping, Sweden - Short Papers",470000
2405,"Firenze, Italy - EIMM",3570000
2406,"Hoboken, New Jersey, USA",17400000
2407,"Petropolis, Brazil",1330000
2408,"Petropolis, Brazil - Workshops",457000
2409,"Reno/Tahoe, NV, USA",6720000
2410,"Kochi, Kerala, India",72300000
2411,"San Jose, CA, USA - INM/WREN",12400000
2412,"Macau, SAR, China",113000000
2413,"Belo Horizonte, Minas Gerais, Brazil - Posters",1160000
2414,"Brisbane, Australia, Australia",274000000
2415,"San Jose, Silicon Valley, CA, USA",17900000
2416,"Chennai, Tamil Nadu, India",215000000
2417,"Waikiki, Honolulu, Hawaii, USA",6830000
2418,"Madrid, Spain - Workshops",50700000
2419,"Brooklyn, NY, USA",588000000
2420,"Waikiki, Honolulu, HI, USA",6090000
2421,"Taipei, Taiwan / TADA 2011",300000
2422,"Lugano, Switzerland - QASBA",5920
2423,"Glasgow, United Kingdom",212000000
2424,"Lancaster, United Kingdom",63400000
2425," Tucson, AZ, USA",90400000
2426,"San Francisco Airport, CA, USA",54700000
2427,"Saarbrücken, Germany (Part of ETAPS 2011)",290000
2428,"Chicago, IL, USA - Workshop on GeoStreaming",6770
2429,"San Diego, USA",945000000
2430,"Boston, MA, USA - Hot-ICE",77800000
2431,"Dalian, Liaoning, China",5110000
2432," Brest,France - Best of Volume",37600000
2433,"Fuzhou, China",16900000
2434,"Uppsala, Sweden - PAIS",283000
2435,"Uppsala, Sweden - LWDM",161000
2436,"Uppsala, Sweden - Ph.D. Workshop",767000
2437,"Belfast, UK",107000000
2438,"Boston, MA, USA / Athens, Greece",17800000
2439,"Piscataway, NJ, USA",8920000
2440,"Kuantan, Pahang, Malaysia",10700000
2441,"Gargnano, Lago di Garda, Italy",823000
2442,"Uppsala, Sweden - Array Databases Workshop",414000
2443,"Uppsala, Sweden - Workshop on Business intelligencE and the WEB",257000
2444,"Amsterdam, The Netherlands - Workshops",26600000
2445,"Cuiaba, Brazil",8480000
2446,"Dubai, United Arab Emirates",267000000
2447,"Qinhuangdao, Hebei, China",736000
2448,"Rodney Bay, St. Lucia - Workshops",18600000
2449,"Llandudno, UK",8200000
2450,"Portland Oregon, USA",410000000
2451,"Lugano, Switzerland - WEWST",13900000
2452,"Portland Oregon, USA - Companion",21000000
2453,"Pohang, South Korea",2820000
2454,"Seville, Spain - Selected Papers",868000
2455,"Portland Oregon, USA - Proceedings",11700000
2456,"Cartagena, Spain",49600000
2457," Hakodate, Hokkaido, Japan",3760000
2458,"Granada, Spain - Short Presentations",9680000
2459,"Caen, France",110000000
2460,"Lugano, Switzerland",42900000
2461,"Huntsville, AL, USA",54200000
2462,"Granada, Spain - Posters",8650000
2463,"Granada, Spain - Slides and Videos",10200000
2464,"Mumbai, India",909000000
2465,"Granada, Spain - State of the Art Reports",10600000
2466,"Santiago de Compostela, Spain",23800000
2467,"Granada, Spain - Education Papers",7130000
2468,"Guadalajara, Mexico",174000000
2469,"Colorado Springs, USA",176000000
2470,"Pori, Finland",9750000
2471,"Canmore, Canada",30000000
2472,"Coventry, UK",115000000
2473,"Brighton, United Kingdom",107000000
2474,"Kunming, China",13900000
2475,"Prague, Czech Repblic",216000000
2476,"Sacramento, California, USA",176000000
2477,"Hakodate, Hokkaido, Japan",3760000
2478,"Portland, Oregon, USA - Workshop on Software Architectures for Dependable Systems (WADS)",19900
2479,"Portland, Oregon, USA - Workshop on Software Requirements to Architectures (STRAW)",798000
2480,"Portland, Oregon, USA - Workshop on SE-HCI",391000
2481,"Edinburgh, Scottland, UK",157000000
2482,"Nice, France - Volume 1",158000000
2483,"Nice, France - Volume 2",124000000
2484,"Chongqing, China",43700000
2485," Bangkok, Thailand - Volume 1",44400000
2486," Bangkok, Thailand - Volume 2",26100000
2487," Bangkok, Thailand - Volume 3",36900000
2488," Bangkok, Thailand - Volume 4",39100000
2489," Bangkok, Thailand - Volume 5",28900000
2490,"Padua, Italy",20300000
2491," Bath, UK",1390000000
2492,"Napa Valley, CA, USA",56900000
2493,"Chengdu, China",40600000
2494,"Brisbane, Australia (Supplement of Bioinformatics)",341000
2495,"Taichung, Taiwan",23100000
2496," Halifax, Nova Scotia, Canada",48200000
2497,"Saint Petersburg, Russia / Melbourne, Australia",22200000
2498,"Udine, Italy - Workshop on Mobile and Ubiquitous Information Acces",12400000
2499," Fort Lauderdale, Florida, USA - Extended Abstracts",376000
2500,"São Paulo, Brazil",477000000
2501,"Processing, Hardcopy, and Applications 2003",6580000
2502,"Melbourne, Australia / Chicago, IL, USA",118000000
2503,"College Station, Texas, USA",402000000
2504,"Morelia, Michocán, Mexico",22400000
2505,"São Carlos, Brazil",129000000
2506,"Malmö, Sweden",50000000
2507,"Udine, Italy",26500000
2508,"Montréal, QC, Canada",476000000
2509," Edmonton, Canada",126000000
2510,"Catania, Sicily, Italy",18600000
2511,"Big Sky, MT, USA",58800000
2512,"Redwood City, California, USA",62700000
2513,"Chicago, Illinois, USA - Workshops",63600000
2514,"West Point, New York, USA",2530000000
2515," Siena, Italy",64500000
2516,"Apizaco, Mexico",6240000
2517,"Toronto, Canada - Workshop",54200000
2518,"Guadeloupe, French West Indies",False
2519,"Kuching, Sarawak, Malaysia",19600000
2520,"Manaus, Brazil",46300000
2521,"Anaheim, California, USA - Companion",1710000
2522,"Anaheim, California, USA - Workshop on Eclipse Technology eXchange",292000
2523,"Edinburgh, United Kingdom",215000000
2524,"Greenbelt, Maryland, USA",3380000
2525,"Tarragona, Spain",55900000
2526,"Perth, Western Australia",186000000
2527,"Chiang Mai, Thailand",73300000
2528,"Bratislava, Slovak Republic",18600000
2529,"Toronto, Canada - Workshop on Middleware for Pervasive and Ad-hoc Computing",65800
2530,"Toronto, Canada - Doctoral Symposium on Middleware",352000
2531,"Verona, Italy",136000000
2532,"Prague, Czech Republic - Volume 3",65500000
2533,"Prague, Czech Republic - Volume 2",63300000
2534,"Prague, Czech Republic - Volume 1",65000000
2535,"Glasgow, Scotland, UK (Supplement of Bioinformatics)",545000
2536,"Barcelona, Spain (Part of ETAPS 2004)",592000
2537," Hong Kong, China - Workshop Papers",65500000
2538,"Twente, The Netherlands / Linköping, Sweden",163000
2539,"Poznań, Poland",98900000
2540,"Vancouver, BC, Canada - Companion",8370000
2541,"Grenoble, France - Short Presentations",3390000
2542,"Hyderabad, Andhra Pradesh, India",163000000
2543,"Leuven, Belgium - DPM/SETOP",204000
2544,"Lexington, Kentucky, USA",65000000
2545,"Llandudno, UK - Posters",581000
2546,"Rome, Italy - Volume 1",428000000
2547,"Rome, Italy - Volume 2",546000000
2548,"Incheon, South Korea",22900000
2549,"Rome, Italy - Revised Selected Papers",652000000
2550,"Kona, HI, USA",6350000
2551,"San Francisco, CA, USA - EVT/WOTE",366000
2552,"St. John's, Canada",92700000
2553,"San Francisco, California, USA - HealthSec",98700
2554,"Hyderabad, India - LDOW Workshop",81100
2555,"San Francisco, California, USA - FOCI",7550000
2556,"Llandudno, UK - Areas Papers",5170000
2557,"Llandudno, UK - Dirk Bartz Prize",6520
2558,"Dublin, Ireland - Companion Material",5750000
2559,"Ouro Preto, Brazil",13400000
2560,"Zhangjiajie, Hunan, China",860000
2561,"Displaying, Processing, Hardcopy, and Applications 2011",2580000
2562,"Wuhan, China - Workshops",729000
2563,"San Francisco, California, USA - CSET",1140000000
2564,"Huddersfield, United Kingdom",36600000
2565,"Kennesaw, GA, USA",18900000
2566,"Llandudno, UK - Short Papers",342000
2567,"Llandudno, UK - Tutorials",358000
2568,"Valencia, Spain / Lecce, Italy",3200000
2569,"Llandudno, UK - State of the Art Reports",610000
2570,"Zurich, Switzerland - Part II",157000000
2571,"Kowloon, Hong Kong, China",24300000
2572,"Zurich, Switzerland - Part I",199000000
2573,"Kowloon, Hong Kong, China - Selected Papers",524000
2574,"Wellington, New Zealand - Workshops",6560000
2575,"Brussels, Belgium - Workshops",42400000
2576,"Toronto, Canada - Prostate Cancer Imaging",698000
2577,"Plan, Activity, and Intent Recognition 2011",125000000
2578,"San Francisco, California, USA - HotSec",529000
2579,"Cardiff, Wales, United Kingdom",59700000
2580,"Prato, Italy - Short and Project Papers",7920000
2581,"Toronto, Canada - Abdominal Imaging",816000
2582,"Hefei, Anhui, China",7200000
2583,"Noordwijkerhout, Netherlands",1670000
2584," Thessaloniki, Greece",42500000
2585,"London, UK / Paris, France",424000000
2586,"Niagara Falls, ON, Canada",58700000
2587,"Hyderabad, India - Companion Volume",1550000
2588,"Qinhuangdao, China",2650000
2589,"Wellington, New Zealand - selected extended papers",3980000
2590,"San Francisco, California, USA - WOOT",666000
2591,"Amritapuri, Kollam, Kerala, India",61000
2592,"Hyderabad, India - TWAW Workshop",2140
2593,"Toronto, Canada - MCBR-CDS",137000
2594,"Minneapolis, Minnesota, USA - Workshops",80200000
2595,"Chongqing, China, China",43200000
2596,"Tallinn, Estonia (Part of ETAPS 2012)",33500
2597,"Basel, Switzerland - AIMM",12100
2598,"Busan, South Korea",56300000
2599,"Busan, South Korea - Volume 2",3780000
2600,"Busan, South Korea - Volume 1",13300000
2601,"Boise, ID, USA",67900000
2602," Cologne, Germany",173000000
2603,"Cagliari, Sardinia, Italy - Tutorials",317000
2604,"Nara, Japan - SAM",11600000
2605,"Philadelphia, PA, USA - Companion Material",21100000
2606,"Vilnius, Lithuania - Workshops",1270000
2607,"Jeju Island, Korea - Shared Task",420000
2608,"Pisa, Italy - DPM/SETOP",298000
2609,"Jeju, Republic of Korea",5880000
2610,"Kuala Lumpur, Malaysia / Bali, Indonesia",19000000
2611,"Gifu, Japan",16400000
2612,"Mérida, Venezuela",25100000
2613,"Los Angeles, CA, USA - Courses",1460000000
2614,"Los Angeles, CA, USA - Awards",832000000
2615,"Los Angeles, CA, USA - Dailies",358000
2616,"Amsterdam, the Netherlands",658000000
2617,"Haikou, Hainan, China, China",2200000
2618,"Klagenfurt, Carinthia, Austria",4720000
2619,"Beijing, China - Workshop of Software Mining",4760000
2620,"Jeju Island, Republic of Korea",2810000
2621,"Vigo, Spain",41000000
2622,"Porto Alegre, Rio Grande do Sul, Brazil",49800000
2623,"Florence, Italy - Volume 6",117000000
2624,"Dallas, TX, USA - Workshops",34000000
2625,"Florence, Italy - Volume 5",117000000
2626,"Los Angeles, California, USA - Posters",153000000
2627,"Los Angeles, California, USA - Sketches",123000000
2628,"Sophia Antipolis, French Riviera, France",271000
2629,"Processing, Hardcopy, and Applications 2004",3550000
2630," Markham, Ontario, Canada",33500000
2631,"Memphis, TN, USA",243000000
2632,"Windermere, The Lake District, UK",10400000
2633,"Beijing, China - Workshop on Web-based Support Systems",12100000
2634,"Manhattan, NY, USA",278000000
2635,"Fairfax, Virginia; USA",14200000
2636,"Paris, France (SIGMOD 2004 Workshop)",253000
2637," Cambridge, England, UK - Volume IV",60600000
2638,"Washington, DC, USA - Volume 2",285000000
2639,"Washington, DC, USA - Volume 1",398000000
2640,"Cetraro, Italy",520000
2641," Cambridge, England, UK - Volume III",419000000
2642,"Volendam, The Netherland",4170000
2643,"Ajaccio, France",28500000
2644," Cambridge, England, UK - Volume II",511000000
2645," Cambridge, England, UK - Volume I",443000000
2646,"Agia Napa, Cyprus - Volume 1",4940000
2647,"Agia Napa, Cyprus - Volume 2",2890000
2648,"Washington, DC, USA - Workshops",39900000
2649,"Volendam, The Netherlands",5080000
2650,"Park City, Utah, USA",258000000
2651,"Hiroshima, Japan - Workshop on Trust, Security, and Reputation on the Semantic Web",174000
2652,"Fort Lauderdale, FL, USA",77900000
2653,"Manhattan, NY, USA - Alternate Track Papers & Posters",9360000
2654,"Funchal, Madeira, Portugal",17800000
2655,"Brasília, DF, Brazil",59000000
2656,"Stirling, Scotland, UK",22700000
2657,"Wellington, New Zealand",201000000
2658,"San Carlos, Costa Rica",66900000
2659,"Busan, Korea",1870000000
2660,"Ramat-Gan, Israel",5290000
2661," Vienna, Austria - Extended Abstracts",26000000
2662,"Burlington, VT, USA",21900000
2663," Beijing, China",328000000
2664,"Big Island of Hawaii, USA",127000000
2665,"Mountain View, California, USA",1110000000
2666,"Puebla, México",146000000
2667,"Whistler, British Columbia, Canada",10500000
2668,"Riga, Latvia / New York, NY, USA",934000
2669,"Tokyo, Japan - Workshops",13300000
2670,"Norfolk, VA, USA",53700000
2671,"Agia Napa, Cyprus",6170000
2672,"Redwood Shores, California, USA",9160000
2673," Saint Malo, France",59700000
2674," Stellenbosch, South Africa",20100000
2675,"Suzhou, China",46500000
2676,"Koblenz, Germany",39600000
2677,"Tartu, Estonia",33500000
2678,"Saint Petersburg, Russia",62500000
2679,"Bhubaneswar, India",59600000
2680,"Leeds, UK - Working Group Reports",138000000
2681,"Columbus, OH, USA - Workshops",40700000
2682,"Siegen, Germany",23600000
2683,"London, ON, Canada",2720000000
2684,"Long Beach, California, USA",770000000
2685,"Guelph, Ontario, Canada",37400000
2686,"Hawthorne, New York, USA",18400000
2687,"Natal, RN, Brazil",9910000
2688,"Stevenson, Washington, USA",40100000
2689,"Bristol, United Kingdom",224000000
2690,"Newcastle, Australia",283000000
2691,"Reunion, France - Volume 2",98900000
2692,"Reunion, France - Volume 1",134000000
2693,"Erfurt, Germany - NODe / GSEM",4050
2694,"Kennesaw, Georgia, USA - Volume 1",25000000
2695,"Dublin, Ireland - Tutorials",1240000
2696,"Utrecht, Netherlands / Klagenfurt, Austria",1110000
2697,"Trondheim, Norway (in conjuction with VLDB 2005)",20800
2698,"Changsha, China",18900000
2699,"Processing, Hardcopy, and Applications 2005",6950000
2700,"Kennesaw, Georgia, USA - Volume 2",25600000
2701,"Changsha, Hunan, China",14400000
2702,"Omaha, Nebraska, USA",134000000
2703,"Salvador, Brazil",730000000
2704,"Beijing, China - Volume 1",140000000
2705,"Saint Louis, Missouri, USA",224000000
2706,"Swansea, Wales, UK",50100000
2707,"Saint Louis, MO, USA",257000000
2708,"Beijing, China - Volume 2",127000000
2709,"Cali, Columbia",270000000
2710,"Lake Tahoe, NV, USA",14500000
2711,"Chania, Crete, Greek",7930000
2712,"Bethlehem, PA, USA",12500000
2713,"Porto de Galinhas, Brazil",1190000
2714,"San Diego, CA, USA - Companion",19000000
2715,"Sedona, AZ, USA",7270000
2716,"San Diego, CA, USA - Proceedings",35100000
2717,"Guanajuato, Mexico",67300000
